Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,1,1.000000,0.997340,0.994243,0.990039,0.986423,0.983040,0.980762,0.979520,0.978052,0.977324,0.977044,0.976961,0.994047,0.993870,0.993821,0.993817,0.980363,0.978114,0.975583,0.973575,0.971793,0.969766,0.968085,0.966480,0.965697,0.965393,0.965306,0.980556,0.980418,0.980346,0.977113,0.976898,0.976787,0.976751,39.773067,40.639936, 311.852469, 151.037044
0,2,1.000000,0.997337,0.994453,0.990562,0.987209,0.984036,0.981931,0.980796,0.979503,0.978880,0.978648,0.978568,0.994249,0.994065,0.994018,0.994015,0.981508,0.979404,0.977066,0.975143,0.973468,0.971577,0.970078,0.968665,0.968012,0.967747,0.967680,0.981729,0.981593,0.981521,0.978692,0.978503,0.978408,0.978377,40.005689,38.271043, 142.133548, 68.838419
0,3,1.000000,0.997343,0.994666,0.991031,0.987905,0.984968,0.983016,0.981936,0.980648,0.980001,0.979745,0.979664,0.994498,0.994339,0.994295,0.994291,0.982628,0.980665,0.978505,0.976754,0.975230,0.973494,0.972066,0.970763,0.970145,0.969907,0.969836,0.982850,0.982740,0.982687,0.979821,0.979647,0.979563,0.979537,40.186075,39.533242, -75.731940, -36.678653
0,4,1.000000,0.997345,0.994670,0.991082,0.988018,0.985146,0.983459,0.982567,0.981475,0.980906,0.980677,0.980620,0.994459,0.994282,0.994246,0.994242,0.982725,0.980676,0.978391,0.976571,0.975038,0.973248,0.971795,0.970541,0.969912,0.969630,0.969553,0.983285,0.983168,0.983118,0.980754,0.980595,0.980518,0.980494,40.194427,41.478610, -116.722044, -56.531066
0,5,1.000000,0.997099,0.994201,0.990306,0.986981,0.983848,0.981630,0.980359,0.978796,0.978066,0.977760,0.977678,0.994035,0.993881,0.993839,0.993835,0.981451,0.979414,0.977227,0.975460,0.973897,0.972101,0.970613,0.969084,0.968320,0.968019,0.967927,0.981474,0.981369,0.981323,0.977884,0.977694,0.977604,0.977581,40.748213,38.413272, 183.920255, 89.076645
0,6,1.000000,0.996876,0.993628,0.989276,0.985494,0.981896,0.979223,0.977755,0.976157,0.975413,0.975126,0.975020,0.993474,0.993349,0.993313,0.993310,0.979235,0.977027,0.974638,0.972627,0.970900,0.969072,0.967580,0.966296,0.965633,0.965370,0.965267,0.978989,0.978825,0.978739,0.975200,0.974974,0.974864,0.974834,41.604255,30.002660, 504.636748, 244.406732
0,7,1.000000,0.996686,0.993974,0.990392,0.987375,0.984619,0.982802,0.981816,0.980726,0.980138,0.979975,0.979893,0.993869,0.993808,0.993822,0.993821,0.982467,0.980692,0.978660,0.976787,0.975138,0.973469,0.971841,0.970534,0.969988,0.969710,0.969676,0.982634,0.982521,0.982448,0.979891,0.979668,0.979582,0.979559,43.003751,30.000056, 0.156205, 0.075653
0,8,1.000000,0.997557,0.996298,0.994786,0.993248,0.991810,0.990428,0.989678,0.988761,0.988368,0.988209,0.988143,0.996304,0.996290,0.996281,0.996280,0.991008,0.990380,0.989547,0.988639,0.988060,0.987693,0.987264,0.986662,0.986423,0.986451,0.986479,0.990302,0.990209,0.990150,0.988265,0.988151,0.988100,0.988079,30.981329,30.103975, -6.235136, -3.019814
0,9,1.000000,0.997144,0.996074,0.994942,0.993816,0.992805,0.992185,0.991818,0.991310,0.991244,0.991175,0.991166,0.996087,0.996119,0.996139,0.996143,0.992075,0.991335,0.990580,0.990176,0.989731,0.989415,0.989132,0.989031,0.988955,0.988811,0.988742,0.992151,0.992118,0.992060,0.991277,0.991326,0.991367,0.991385,37.563993,30.000071, 6.234270, 3.019395
0,10,1.000000,0.997626,0.998886,1.001179,1.002968,1.004529,1.004841,1.005004,1.005222,1.005436,1.005518,1.005568,0.998998,0.999173,0.999215,0.999216,1.006352,1.007814,1.009763,1.011480,1.012837,1.014392,1.015625,1.016775,1.017581,1.017890,1.017944,1.004876,1.004909,1.004945,1.005498,1.005567,1.005658,1.005701,43.733087,46.892818, -1013.564825, -490.891849
