Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,14,1.000000,0.999662,1.004996,1.013315,1.020497,1.027457,1.032022,1.034427,1.037184,1.038087,1.038286,1.038415,1.005378,1.005745,1.005844,1.005852,1.033336,1.037996,1.043343,1.047792,1.051964,1.057082,1.061334,1.065038,1.066787,1.067514,1.067767,1.032505,1.032903,1.033102,1.038525,1.038932,1.039118,1.039193,99.177702,92.916292, -642.166084, -311.015229
0,15,1.000000,0.999853,1.005155,1.013463,1.020599,1.027509,1.031550,1.033679,1.036777,1.038362,1.038980,1.039130,1.005467,1.005692,1.005742,1.005747,1.033645,1.038414,1.043712,1.048068,1.051775,1.056107,1.059834,1.062614,1.063897,1.064343,1.064490,1.031976,1.032282,1.032459,1.038811,1.039194,1.039403,1.039486,95.677018,99.999946, -495.855796, -240.153923
0,16,1.000000,0.998869,1.001907,1.006759,1.011051,1.014977,1.017844,1.019497,1.021474,1.022344,1.022522,1.022607,1.002270,1.002420,1.002425,1.002435,1.018203,1.021037,1.024457,1.027019,1.029154,1.031856,1.033914,1.035693,1.036726,1.036886,1.037025,1.018041,1.018153,1.018117,1.022783,1.023251,1.023511,1.023616,75.912510,99.999969, -0.001631, -0.000790
0,17,1.000000,0.997677,0.998135,0.999292,1.000119,1.001159,1.001839,1.002192,1.001983,1.001787,1.001660,1.001676,0.998245,0.998347,0.998391,0.998393,1.002181,1.003239,1.004721,1.005722,1.006632,1.008015,1.008792,1.009451,1.009667,1.009742,1.009845,1.001916,1.002018,1.002073,1.001793,1.001849,1.001912,1.001939,46.767655,99.999984, -0.000997, -0.000483
0,18,1.000000,0.994932,0.991103,0.986213,0.981863,0.977817,0.975837,0.974655,0.973304,0.972304,0.971898,0.971784,0.990909,0.990808,0.990766,0.990761,0.974278,0.971234,0.967474,0.964296,0.961483,0.957808,0.955050,0.952206,0.950494,0.949857,0.949794,0.975735,0.975627,0.975556,0.972043,0.971811,0.971673,0.971598,63.858294,98.183587, 127.147768, 61.580474
0,19,1.000000,0.995293,0.991705,0.987142,0.983436,0.979737,0.978201,0.977440,0.976403,0.975724,0.975540,0.975544,0.991419,0.991090,0.990938,0.990936,0.976304,0.973464,0.970233,0.967465,0.965061,0.963015,0.960878,0.958985,0.957986,0.957637,0.957568,0.978006,0.977862,0.977765,0.975437,0.975158,0.975107,0.975105,61.254517,99.999939, -127.144615, -61.578948
0,20,1.000000,0.994874,0.988596,0.980025,0.972704,0.965876,0.961129,0.958252,0.955717,0.954332,0.953712,0.953507,0.988347,0.988042,0.987891,0.987886,0.960605,0.956235,0.950763,0.946382,0.942853,0.939023,0.936110,0.933726,0.932421,0.931952,0.931701,0.960916,0.960683,0.960537,0.954037,0.953837,0.953695,0.953618,70.065953,73.247703, 1872.656517, 906.968946
0,21,1.000000,0.995304,0.989523,0.981597,0.974715,0.968022,0.962969,0.959988,0.956933,0.955694,0.955144,0.954934,0.989221,0.988876,0.988737,0.988731,0.963058,0.958795,0.954347,0.951026,0.948078,0.945140,0.942346,0.940048,0.938760,0.938018,0.937818,0.962680,0.962503,0.962491,0.955425,0.955112,0.954964,0.954977,69.637693,55.053345, 1273.605006, 616.835057
0,22,1.000000,0.995306,0.989988,0.982763,0.976510,0.970733,0.966622,0.964279,0.961239,0.959563,0.958845,0.958598,0.989650,0.989325,0.989277,0.989272,0.966299,0.962595,0.958765,0.955881,0.953185,0.949931,0.947064,0.944494,0.943300,0.942861,0.942725,0.966325,0.966172,0.966102,0.959167,0.958778,0.958584,0.958515,70.750517,51.441710, 252.814470, 122.443636
0,23,1.000000,0.995230,0.991383,0.986171,0.981725,0.977728,0.974915,0.973420,0.971582,0.970743,0.970485,0.970379,0.991130,0.990917,0.990849,0.990845,0.974640,0.972148,0.969508,0.967229,0.965294,0.962984,0.961031,0.959220,0.958275,0.957883,0.957702,0.974629,0.974453,0.974389,0.970423,0.970118,0.969992,0.969963,73.454624,67.916579, -1153.240787, -558.540005
