Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,1,1.000000,0.997068,0.993971,0.989765,0.986148,0.982764,0.980486,0.979243,0.977775,0.977046,0.976766,0.976683,0.993774,0.993597,0.993548,0.993544,0.980086,0.977837,0.975305,0.973297,0.971514,0.969486,0.967805,0.966199,0.965416,0.965112,0.965025,0.980279,0.980141,0.980070,0.976836,0.976620,0.976510,0.976473,44.258069,45.837477, 0.000000, 0.000000
0,2,1.000000,0.997213,0.994329,0.990438,0.987083,0.983911,0.981805,0.980670,0.979377,0.978754,0.978522,0.978442,0.994124,0.993941,0.993894,0.993890,0.981383,0.979278,0.976939,0.975017,0.973341,0.971450,0.969951,0.968537,0.967885,0.967619,0.967552,0.981603,0.981468,0.981395,0.978565,0.978376,0.978282,0.978251,42.050367,45.837477, 0.000000, 0.000000
0,3,1.000000,0.997409,0.994733,0.991098,0.987972,0.985035,0.983083,0.982003,0.980715,0.980068,0.979813,0.979731,0.994564,0.994405,0.994362,0.994357,0.982695,0.980733,0.978572,0.976821,0.975297,0.973561,0.972134,0.970831,0.970213,0.969975,0.969904,0.982917,0.982807,0.982754,0.979888,0.979714,0.979630,0.979604,39.096199,45.837477, 0.000000, 0.000000
0,4,1.000000,0.997447,0.994772,0.991184,0.988121,0.985249,0.983562,0.982670,0.981578,0.981009,0.980780,0.980723,0.994561,0.994384,0.994348,0.994344,0.982828,0.980780,0.978495,0.976675,0.975143,0.973352,0.971900,0.970645,0.970016,0.969735,0.969657,0.983389,0.983272,0.983221,0.980858,0.980699,0.980621,0.980597,38.514516,45.837477, 0.000000, 0.000000
0,5,1.000000,0.997227,0.994931,0.991913,0.989341,0.986915,0.985187,0.984185,0.982928,0.982339,0.982085,0.982017,0.994806,0.994693,0.994662,0.994659,0.985087,0.983520,0.981862,0.980522,0.979327,0.977969,0.976837,0.975638,0.975028,0.974789,0.974715,0.985076,0.985001,0.984971,0.982202,0.982058,0.981992,0.981978,36.569102,45.837477, 0.000000, 0.000000
0,6,1.000000,0.997002,0.994942,0.992323,0.990041,0.987864,0.986202,0.985282,0.984337,0.983921,0.983763,0.983702,0.994874,0.994827,0.994811,0.994810,0.986335,0.985070,0.983751,0.982597,0.981624,0.980675,0.979909,0.979285,0.978931,0.978783,0.978711,0.986061,0.985956,0.985901,0.983800,0.983665,0.983602,0.983588,37.381556,45.837477, 0.000000, 0.000000
0,7,1.000000,0.997510,0.996551,0.995531,0.994737,0.994071,0.993781,0.993650,0.993522,0.993400,0.993412,0.993393,0.996569,0.996617,0.996664,0.996666,0.993558,0.993149,0.992652,0.992003,0.991421,0.991046,0.990460,0.990152,0.990089,0.990000,0.990015,0.993735,0.993693,0.993655,0.993294,0.993209,0.993197,0.993197,33.246856,45.837477, 0.000000, 0.000000
0,8,1.000000,0.998894,1.000491,1.003173,1.005238,1.007224,1.008224,1.008794,1.009330,1.009671,1.009797,1.009812,1.000681,1.000836,1.000882,1.000886,1.009175,1.010817,1.012612,1.013811,1.015009,1.016807,1.018113,1.019083,1.019604,1.019932,1.020036,1.008298,1.008351,1.008351,1.009775,1.009866,1.009908,1.009913,49.046359,45.837477, 0.000000, 0.000000
0,9,1.000000,0.998907,1.001699,1.006123,1.009632,1.012970,1.015315,1.016507,1.017918,1.018862,1.019118,1.019229,1.002077,1.002454,1.002571,1.002581,1.015772,1.017954,1.020582,1.022908,1.024768,1.027106,1.029114,1.031166,1.032141,1.032384,1.032417,1.015596,1.015745,1.015767,1.019263,1.019686,1.019913,1.019997,68.423004,45.837477, 0.000000, 0.000000
0,10,1.000000,1.000929,1.007782,1.018212,1.026784,1.034733,1.038750,1.040945,1.043583,1.045013,1.045550,1.045745,1.008351,1.008964,1.009133,1.009142,1.042119,1.048305,1.055522,1.061529,1.066538,1.072145,1.076665,1.080966,1.083454,1.084441,1.084708,1.039113,1.039344,1.039488,1.045442,1.045877,1.046209,1.046352,121.545870,45.837477, 0.000000, 0.000000
0,11,1.000000,1.000742,1.006960,1.016318,1.024442,1.031870,1.037211,1.040078,1.043249,1.044675,1.045143,1.045330,1.007599,1.008375,1.008594,1.008610,1.037860,1.043021,1.048746,1.052892,1.056107,1.059810,1.062654,1.065116,1.066284,1.066887,1.066992,1.037734,1.038127,1.038409,1.045182,1.045607,1.045831,1.045870,112.657782,45.837477, 0.000000, 0.000000
0,12,1.000000,1.000427,1.006068,1.014864,1.021499,1.027706,1.033760,1.036872,1.041008,1.042974,1.043884,1.044376,1.006419,1.006786,1.006814,1.006815,1.031841,1.035597,1.039012,1.042080,1.044839,1.048341,1.051160,1.054006,1.054917,1.055065,1.055203,1.034457,1.034885,1.035116,1.043358,1.043865,1.044067,1.044132,105.929019,45.837477, 0.000000, 0.000000
0,13,1.000000,1.000826,1.007625,1.018128,1.027226,1.035680,1.041987,1.045765,1.049789,1.051978,1.052819,1.053164,1.008039,1.008480,1.008610,1.008602,1.042363,1.048425,1.055390,1.060998,1.065695,1.071049,1.075469,1.080199,1.082261,1.082977,1.083192,1.042311,1.042475,1.042504,1.052611,1.053129,1.053412,1.053518,120.580999,45.837477, 0.000000, 0.000000
0,14,1.000000,1.000622,1.006411,1.015388,1.023200,1.030666,1.036269,1.039444,1.042870,1.044217,1.044706,1.044814,1.006795,1.007184,1.007273,1.007288,1.036551,1.041557,1.047116,1.051661,1.055507,1.059975,1.063732,1.067223,1.068954,1.069659,1.069963,1.036692,1.037034,1.037163,1.044642,1.045073,1.045281,1.045338,109.220777,45.837476, 0.000000, 0.000000
0,15,1.000000,1.000314,1.005526,1.013436,1.020001,1.026200,1.030806,1.033435,1.036561,1.038384,1.039097,1.039257,1.006063,1.006496,1.006622,1.006630,1.031131,1.035293,1.040143,1.043864,1.047410,1.051625,1.055357,1.059218,1.061177,1.061875,1.062025,1.031140,1.031288,1.031347,1.038896,1.039395,1.039672,1.039750,98.288244,45.837476, 0.000000, 0.000000
