Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,14,1.000000,0.996947,0.997837,0.999738,1.001415,1.003123,1.004746,1.005755,1.006806,1.007028,1.007110,1.007118,0.997891,0.997957,0.997964,0.997971,1.004387,1.005524,1.006713,1.007652,1.008382,1.009145,1.009830,1.010475,1.010885,1.011079,1.011203,1.004802,1.004883,1.004910,1.007096,1.007166,1.007190,1.007185,35.669786,92.668417, -1142.014777, -553.103001
0,15,1.000000,0.997099,0.997670,0.998926,0.999810,1.000742,1.001720,1.002344,1.003083,1.003699,1.003963,1.004006,0.997855,0.997961,0.997990,0.997992,1.001444,1.002015,1.002965,1.003727,1.004694,1.005923,1.007209,1.008814,1.009701,1.010018,1.010035,1.001743,1.001722,1.001699,1.003845,1.003948,1.004031,1.004044,33.383981,99.999848, -733.143063, -355.077391
0,16,1.000000,0.997001,0.996427,0.996168,0.996058,0.996069,0.996840,0.997382,0.998035,0.998345,0.998514,0.998537,0.996415,0.996375,0.996407,0.996409,0.995782,0.995451,0.995141,0.995183,0.995300,0.995525,0.995770,0.996099,0.996237,0.996267,0.996232,0.996822,0.996763,0.996755,0.998375,0.998349,0.998310,0.998320,31.355087,99.999989, -0.014127, -0.006842
0,17,1.000000,0.994045,0.989590,0.983688,0.978753,0.974010,0.970995,0.969243,0.967849,0.967292,0.967115,0.967085,0.989504,0.989406,0.989413,0.989415,0.970263,0.967018,0.963442,0.960253,0.957535,0.954821,0.952173,0.949438,0.948062,0.947527,0.947301,0.970805,0.970533,0.970423,0.967088,0.966843,0.966729,0.966703,53.367514,99.999965, 0.002438, 0.001181
0,18,1.000000,0.993494,0.987606,0.979719,0.972551,0.965872,0.962153,0.959944,0.957048,0.955316,0.954618,0.954487,0.987341,0.987092,0.987054,0.987037,0.960191,0.955252,0.950033,0.945867,0.942418,0.938024,0.934610,0.931662,0.929898,0.929136,0.928970,0.961953,0.961849,0.961730,0.954857,0.954387,0.954177,0.954095,61.778082,99.999502, 0.046220, 0.022385
0,19,1.000000,0.993717,0.986842,0.977626,0.969599,0.962126,0.954812,0.950757,0.946724,0.944450,0.943591,0.943333,0.986427,0.986007,0.985949,0.985945,0.957646,0.953572,0.948611,0.944500,0.941245,0.937745,0.934940,0.932008,0.929915,0.928983,0.928695,0.954202,0.953798,0.953673,0.943776,0.943126,0.942859,0.942784,61.037673,89.728169, 1027.133351, 497.463386
0,20,1.000000,0.994042,0.986255,0.976191,0.967251,0.959025,0.954084,0.951259,0.947604,0.945954,0.945508,0.945365,0.985365,0.984619,0.984363,0.984357,0.952183,0.946568,0.940180,0.934860,0.930714,0.926008,0.921774,0.918620,0.917182,0.916782,0.916688,0.953734,0.953478,0.953208,0.945252,0.944575,0.944144,0.943945,58.874691,65.415354, 2431.281450, 1177.523349
0,21,1.000000,0.994534,0.986495,0.975392,0.966232,0.957212,0.951466,0.948431,0.944188,0.942137,0.941306,0.941051,0.986142,0.985764,0.985656,0.985643,0.949881,0.943359,0.936446,0.930641,0.925571,0.919742,0.914734,0.909858,0.907349,0.906445,0.906070,0.950873,0.950532,0.950409,0.941594,0.940903,0.940485,0.940301,56.348341,41.572927, 2384.242685, 1154.741436
0,22,1.000000,0.994300,0.987385,0.977895,0.969881,0.962216,0.955694,0.952170,0.947824,0.945530,0.944424,0.944192,0.987028,0.986681,0.986603,0.986600,0.956980,0.952439,0.947200,0.942799,0.938908,0.934486,0.930743,0.926835,0.924928,0.924202,0.923999,0.955078,0.954699,0.954492,0.945136,0.944727,0.944554,0.944529,59.594198,30.000080, 1157.284778, 560.498600
0,23,1.000000,0.994661,0.989400,0.982205,0.976127,0.970727,0.967056,0.964990,0.962434,0.961322,0.960925,0.960800,0.989109,0.988768,0.988666,0.988657,0.966477,0.963112,0.959395,0.956300,0.953513,0.950133,0.947314,0.944434,0.942970,0.942386,0.942215,0.966770,0.966528,0.966416,0.960965,0.960607,0.960403,0.960336,56.681477,31.855133, -185.505361, -89.844347
