Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,14,1.000000,0.999893,1.004748,1.012354,1.018975,1.025320,1.030126,1.032862,1.035809,1.036940,1.037350,1.037439,1.005067,1.005393,1.005466,1.005479,1.030312,1.034568,1.039284,1.043135,1.046386,1.050150,1.053322,1.056270,1.057746,1.058350,1.058617,1.030478,1.030768,1.030878,1.037296,1.037658,1.037830,1.037876,91.813027,99.999834, -374.504550, -181.380832
0,15,1.000000,0.999734,1.003623,1.009611,1.014546,1.019229,1.022765,1.024798,1.027215,1.028666,1.029239,1.029364,1.004050,1.004383,1.004480,1.004486,1.022947,1.026081,1.029797,1.032657,1.035435,1.038757,1.041741,1.044890,1.046504,1.047079,1.047191,1.023010,1.023112,1.023149,1.029068,1.029451,1.029668,1.029727,79.339947,99.999953, -0.007139, -0.003458
0,16,1.000000,0.998632,1.000352,1.003318,1.005931,1.008467,1.011023,1.012566,1.014284,1.015091,1.015442,1.015522,1.000507,1.000615,1.000673,1.000678,1.010164,1.011509,1.013027,1.014512,1.015884,1.017540,1.019013,1.020327,1.020909,1.021080,1.021097,1.011147,1.011187,1.011215,1.015276,1.015425,1.015483,1.015519,54.326829,99.999985, -0.001880, -0.000911
0,17,1.000000,0.995331,0.991940,0.987468,0.983735,0.980143,0.977861,0.976530,0.975493,0.975083,0.974954,0.974933,0.991882,0.991813,0.991821,0.991822,0.977311,0.974853,0.972148,0.969725,0.967663,0.965618,0.963605,0.961517,0.960466,0.960055,0.959881,0.977720,0.977510,0.977426,0.974931,0.974747,0.974662,0.974642,59.333041,99.999956, 0.001711, 0.000829
0,18,1.000000,0.994539,0.989240,0.982074,0.975609,0.969576,0.966086,0.964032,0.961384,0.959843,0.959224,0.959099,0.988979,0.988735,0.988693,0.988679,0.964494,0.960091,0.955396,0.951642,0.948508,0.944551,0.941458,0.938771,0.937212,0.936550,0.936399,0.965883,0.965772,0.965663,0.959431,0.959009,0.958819,0.958745,77.118610,99.658658, 20.477864, 9.917882
0,19,1.000000,0.994784,0.988694,0.980462,0.973303,0.966624,0.960295,0.956792,0.953240,0.951257,0.950505,0.950279,0.988317,0.987943,0.987887,0.987883,0.962467,0.958729,0.954209,0.950471,0.947470,0.944188,0.941543,0.938838,0.936997,0.936190,0.935943,0.959761,0.959408,0.959293,0.950672,0.950104,0.949865,0.949797,75.477185,84.360909, 917.864986, 444.542302
0,20,1.000000,0.994926,0.988312,0.979700,0.972064,0.965026,0.960740,0.958301,0.955171,0.953741,0.953338,0.953213,0.987567,0.986942,0.986730,0.986725,0.959188,0.954392,0.948938,0.944403,0.940848,0.936798,0.933177,0.930426,0.929163,0.928799,0.928713,0.960429,0.960204,0.959980,0.953152,0.952583,0.952226,0.952063,74.168380,54.601363, 1785.572733, 864.792344
0,21,1.000000,0.995057,0.988721,0.979977,0.972769,0.965672,0.961132,0.958734,0.955382,0.953761,0.953105,0.952903,0.988439,0.988137,0.988051,0.988040,0.959914,0.954792,0.949368,0.944815,0.940840,0.936273,0.932350,0.928531,0.926566,0.925858,0.925564,0.960661,0.960391,0.960294,0.953332,0.952787,0.952456,0.952311,73.623332,34.950585, 1179.046703, 571.038381
0,22,1.000000,0.994938,0.989472,0.981977,0.975650,0.969600,0.964441,0.961655,0.958218,0.956404,0.955530,0.955346,0.989187,0.988910,0.988849,0.988845,0.965473,0.961895,0.957767,0.954301,0.951236,0.947756,0.944811,0.941736,0.940236,0.939664,0.939504,0.963953,0.963652,0.963489,0.956093,0.955770,0.955632,0.955613,76.286850,30.000070, 297.030853, 143.858608
0,23,1.000000,0.995880,0.991709,0.986007,0.981193,0.976916,0.974004,0.972365,0.970338,0.969456,0.969141,0.969041,0.991477,0.991204,0.991123,0.991116,0.973554,0.970893,0.967955,0.965509,0.963307,0.960636,0.958410,0.956135,0.954979,0.954518,0.954383,0.973777,0.973584,0.973496,0.969173,0.968889,0.968727,0.968674,62.251601,30.131756, -7.901125, -3.826690
