Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,14,1.000000,1.000215,1.005068,1.012672,1.019292,1.025635,1.030439,1.033174,1.036120,1.037251,1.037661,1.037750,1.005388,1.005713,1.005786,1.005800,1.030625,1.034880,1.039595,1.043445,1.046694,1.050457,1.053628,1.056575,1.058051,1.058655,1.058922,1.030791,1.031081,1.031190,1.037607,1.037968,1.038141,1.038187,95.433267,45.837476, 0.000000, 0.000000
0,15,1.000000,0.999734,1.003623,1.009611,1.014546,1.019229,1.022765,1.024798,1.027215,1.028666,1.029239,1.029364,1.004050,1.004383,1.004480,1.004486,1.022947,1.026081,1.029797,1.032657,1.035435,1.038757,1.041741,1.044890,1.046504,1.047079,1.047191,1.023010,1.023112,1.023149,1.029068,1.029451,1.029668,1.029727,79.340012,45.837476, 0.000000, -0.000000
0,16,1.000000,0.998632,1.000352,1.003318,1.005931,1.008467,1.011023,1.012566,1.014284,1.015091,1.015442,1.015522,1.000507,1.000615,1.000673,1.000678,1.010164,1.011509,1.013027,1.014512,1.015884,1.017540,1.019013,1.020327,1.020909,1.021080,1.021097,1.011147,1.011187,1.011215,1.015276,1.015425,1.015483,1.015519,54.326840,45.837476, 0.000000, 0.000000
0,17,1.000000,0.995331,0.991940,0.987468,0.983735,0.980143,0.977861,0.976530,0.975493,0.975083,0.974954,0.974933,0.991882,0.991813,0.991821,0.991822,0.977311,0.974853,0.972148,0.969725,0.967663,0.965618,0.963605,0.961517,0.960466,0.960055,0.959881,0.977720,0.977510,0.977426,0.974931,0.974747,0.974662,0.974642,59.333063,45.837476, -0.000000, 0.000000
0,18,1.000000,0.994521,0.989222,0.982055,0.975591,0.969558,0.966068,0.964014,0.961366,0.959824,0.959205,0.959081,0.988961,0.988717,0.988675,0.988661,0.964476,0.960072,0.955378,0.951623,0.948489,0.944532,0.941439,0.938752,0.937192,0.936531,0.936380,0.965865,0.965753,0.965645,0.959412,0.958991,0.958800,0.958726,77.409184,45.837476, 0.000000, 0.000000
0,19,1.000000,0.993978,0.987883,0.979643,0.972478,0.965793,0.959458,0.955952,0.952397,0.950412,0.949659,0.949433,0.987505,0.987131,0.987075,0.987071,0.961632,0.957891,0.953367,0.949626,0.946622,0.943336,0.940689,0.937982,0.936139,0.935331,0.935084,0.958924,0.958571,0.958455,0.949826,0.949258,0.949019,0.948951,88.663598,45.837476, 0.000000, -0.000000
0,20,1.000000,0.993357,0.986731,0.978104,0.970455,0.963404,0.959111,0.956667,0.953532,0.952100,0.951696,0.951571,0.985986,0.985359,0.985147,0.985142,0.957556,0.952751,0.947287,0.942745,0.939182,0.935126,0.931498,0.928742,0.927477,0.927112,0.927026,0.958799,0.958574,0.958350,0.951510,0.950940,0.950582,0.950419,99.946341,45.837476, 0.000000, 0.000000
0,21,1.000000,0.994022,0.987679,0.978924,0.971708,0.964602,0.960057,0.957657,0.954301,0.952678,0.952021,0.951819,0.987396,0.987094,0.987008,0.986997,0.958838,0.953710,0.948280,0.943721,0.939741,0.935169,0.931241,0.927417,0.925450,0.924741,0.924447,0.959586,0.959316,0.959219,0.952249,0.951703,0.951372,0.951226,90.680175,45.837476, 0.000000, -0.000000
0,22,1.000000,0.994677,0.989210,0.981712,0.975384,0.969332,0.964172,0.961384,0.957947,0.956133,0.955258,0.955074,0.988925,0.988648,0.988586,0.988583,0.965204,0.961624,0.957495,0.954029,0.950963,0.947482,0.944536,0.941460,0.939959,0.939388,0.939228,0.963684,0.963383,0.963219,0.955821,0.955498,0.955361,0.955341,80.584573,45.837476, 0.000000, 0.000000
0,23,1.000000,0.995887,0.991716,0.986014,0.981200,0.976923,0.974011,0.972373,0.970345,0.969463,0.969148,0.969049,0.991484,0.991211,0.991130,0.991123,0.973561,0.970900,0.967962,0.965516,0.963314,0.960643,0.958417,0.956142,0.954986,0.954525,0.954390,0.973784,0.973592,0.973503,0.969180,0.968896,0.968734,0.968681,62.137540,45.837476, 0.000000, 0.000000
